FID,kmlgeometry
0.0,"<LineString><coordinates>-16.429254003699999,15.634088344 -16.429545267799998,15.634393748100001</coordinates></LineString>"
1.0,"<LineString><coordinates>-16.3899216555,15.6466604644 -16.389104912400001,15.645888337600001</coordinates></LineString>"
2.0,"<LineString><coordinates>-16.4917893157,15.6850894965 -16.489877187800001,15.682571876800001</coordinates></LineString>"
3.0,"<LineString><coordinates>-16.388625555099999,15.7761614299 -16.3942351749,15.781620844200001</coordinates></LineString>"
4.0,"<LineString><coordinates>-16.39430533,15.7262516467 -16.377983045899999,15.7371381339</coordinates></LineString>"
5.0,"<LineString><coordinates>-16.377983045899999,15.7371381339 -16.3926105271,15.7541818902</coordinates></LineString>"
6.0,"<LineString><coordinates>-16.366210602399999,15.677648834699999 -16.366681752800002,15.676949930199999</coordinates></LineString>"
7.0,"<LineString><coordinates>-16.378273269499999,15.688726605899999 -16.374650319600001,15.691072288399999</coordinates></LineString>"
8.0,"<LineString><coordinates>-16.381203733300001,15.7054833996 -16.381016002,15.702547105600001</coordinates></LineString>"
9.0,"<LineString><coordinates>-16.3778092694,15.701600239599999 -16.381016002,15.702547105600001</coordinates></LineString>"
10.0,"<LineString><coordinates>-16.3778092694,15.701600239599999 -16.374650319600001,15.691072288399999</coordinates></LineString>"
11.0,"<LineString><coordinates>-16.394754466799998,15.699016226 -16.381016002,15.702547105600001</coordinates></LineString>"
12.0,"<LineString><coordinates>-16.4079059526,15.7051954498 -16.394754466799998,15.699016226</coordinates></LineString>"
13.0,"<LineString><coordinates>-16.374650319600001,15.691072288399999 -16.366210602399999,15.677648834699999</coordinates></LineString>"
14.0,"<LineString><coordinates>-16.426021885200001,15.709994758900001 -16.4079059526,15.7051954498</coordinates></LineString>"
15.0,"<LineString><coordinates>-16.469954261800002,15.7520920989 -16.460136084,15.7533421084</coordinates></LineString>"
16.0,"<LineString><coordinates>-16.469954261800002,15.7520920989 -16.4708604898,15.7625972445</coordinates></LineString>"
17.0,"<LineString><coordinates>-16.468277819699999,15.735672178 -16.4715683732,15.737773945800001</coordinates></LineString>"
18.0,"<LineString><coordinates>-16.469954261800002,15.7520920989 -16.4715683732,15.737773945800001</coordinates></LineString>"
19.0,"<LineString><coordinates>-16.44896518,15.715158194600001 -16.448697856599999,15.714301342600001</coordinates></LineString>"
20.0,"<LineString><coordinates>-16.44896518,15.715158194600001 -16.448978349299999,15.717019969300001</coordinates></LineString>"
21.0,"<LineString><coordinates>-16.462807914199999,15.719792826600001 -16.448978349299999,15.717019969300001</coordinates></LineString>"
22.0,"<LineString><coordinates>-16.462807914199999,15.719792826600001 -16.453894607500001,15.7313127402</coordinates></LineString>"
23.0,"<LineString><coordinates>-16.453894607500001,15.7313127402 -16.468277819699999,15.735672178</coordinates></LineString>"
24.0,"<LineString><coordinates>-16.453661396800001,15.771994881199999 -16.440580342499999,15.7818792129</coordinates></LineString>"
25.0,"<LineString><coordinates>-16.424253694899999,15.7602588819 -16.4252544233,15.7565466675</coordinates></LineString>"
26.0,"<LineString><coordinates>-16.4252544233,15.7565466675 -16.430523206,15.7546050702</coordinates></LineString>"
27.0,"<LineString><coordinates>-16.431189829400001,15.747180330300001 -16.430523206,15.7546050702</coordinates></LineString>"
28.0,"<LineString><coordinates>-16.421145390100001,15.7320075832 -16.420235632699999,15.7380691349</coordinates></LineString>"
29.0,"<LineString><coordinates>-16.420235632699999,15.7380691349 -16.431189829400001,15.747180330300001</coordinates></LineString>"
30.0,"<LineString><coordinates>-16.424253694899999,15.7602588819 -16.423280443500001,15.7746088886</coordinates></LineString>"
31.0,"<LineString><coordinates>-16.440580342499999,15.7818792129 -16.423280443500001,15.7746088886</coordinates></LineString>"
32.0,"<LineString><coordinates>-16.453661396800001,15.771994881199999 -16.4708604898,15.7625972445</coordinates></LineString>"
33.0,"<LineString><coordinates>-16.411535691299999,15.797100220600001 -16.432293605200002,15.800733318900001</coordinates></LineString>"
34.0,"<LineString><coordinates>-16.422487579799999,15.818801797700001 -16.432293605200002,15.800733318900001</coordinates></LineString>"
35.0,"<LineString><coordinates>-16.440580342499999,15.7818792129 -16.432293605200002,15.800733318900001</coordinates></LineString>"
36.0,"<LineString><coordinates>-16.426021885200001,15.709994758900001 -16.448697856599999,15.714301342600001</coordinates></LineString>"
37.0,"<LineString><coordinates>-16.462807914199999,15.719792826600001 -16.482024429,15.704867907300001</coordinates></LineString>"
38.0,"<LineString><coordinates>-16.449140951499999,15.8188152896 -16.432293605200002,15.800733318900001</coordinates></LineString>"
39.0,"<LineString><coordinates>-16.381203733300001,15.7054833996 -16.39430533,15.7262516467</coordinates></LineString>"
40.0,"<LineString><coordinates>-16.492607629799998,15.7781120656 -16.4846754993,15.7911268176</coordinates></LineString>"
41.0,"<LineString><coordinates>-16.530071384799999,15.7904234269 -16.534961981,15.779209181800001</coordinates></LineString>"
42.0,"<LineString><coordinates>-16.516911670500001,15.769258557500001 -16.514949083,15.7839859071</coordinates></LineString>"
43.0,"<LineString><coordinates>-16.514949083,15.7839859071 -16.530071384799999,15.7904234269</coordinates></LineString>"
44.0,"<LineString><coordinates>-16.516911670500001,15.769258557500001 -16.532311279,15.7630501545</coordinates></LineString>"
45.0,"<LineString><coordinates>-16.501723889699999,15.7536468834 -16.516911670500001,15.769258557500001</coordinates></LineString>"
46.0,"<LineString><coordinates>-16.525967039899999,15.7233099883 -16.530056351199999,15.716132395200001</coordinates></LineString>"
47.0,"<LineString><coordinates>-16.536061804799999,15.705714759199999 -16.530056351199999,15.716132395200001</coordinates></LineString>"
48.0,"<LineString><coordinates>-16.562115181700001,15.7111153501 -16.5619719209,15.7082333268</coordinates></LineString>"
49.0,"<LineString><coordinates>-16.563990074300001,15.704938177100001 -16.5619719209,15.7082333268</coordinates></LineString>"
50.0,"<LineString><coordinates>-16.547009055699998,15.733293224 -16.550202856199999,15.729926563399999</coordinates></LineString>"
51.0,"<LineString><coordinates>-16.554522313,15.724897932499999 -16.5573981177,15.719011910200001</coordinates></LineString>"
52.0,"<LineString><coordinates>-16.554522313,15.724897932499999 -16.550202856199999,15.729926563399999</coordinates></LineString>"
53.0,"<LineString><coordinates>-16.5573981177,15.719011910200001 -16.551477845899999,15.712239566599999</coordinates></LineString>"
54.0,"<LineString><coordinates>-16.562115181700001,15.7111153501 -16.5573981177,15.719011910200001</coordinates></LineString>"
55.0,"<LineString><coordinates>-16.547009055699998,15.733293224 -16.544353751,15.744961779</coordinates></LineString>"
56.0,"<LineString><coordinates>-16.536061804799999,15.705714759199999 -16.551477845899999,15.712239566599999</coordinates></LineString>"
57.0,"<LineString><coordinates>-16.532311279,15.7630501545 -16.544353751,15.744961779</coordinates></LineString>"
58.0,"<LineString><coordinates>-16.492607629799998,15.7781120656 -16.514949083,15.7839859071</coordinates></LineString>"
59.0,"<LineString><coordinates>-16.492607629799998,15.7781120656 -16.4708604898,15.7625972445</coordinates></LineString>"
60.0,"<LineString><coordinates>-16.400752815200001,15.6564614269 -16.397095154900001,15.657695926800001</coordinates></LineString>"
61.0,"<LineString><coordinates>-16.4044761024,15.670302428 -16.4073637722,15.6669487332</coordinates></LineString>"
62.0,"<LineString><coordinates>-16.400752815200001,15.6564614269 -16.4073637722,15.6669487332</coordinates></LineString>"
63.0,"<LineString><coordinates>-16.419875274599999,15.672580158400001 -16.4073637722,15.6669487332</coordinates></LineString>"
64.0,"<LineString><coordinates>-16.419875274599999,15.672580158400001 -16.432366074,15.6657833457</coordinates></LineString>"
65.0,"<LineString><coordinates>-16.451608012600001,15.671956245100001 -16.432366074,15.6657833457</coordinates></LineString>"
66.0,"<LineString><coordinates>-16.500452696699998,15.629627103100001 -16.497855316399999,15.630286552699999</coordinates></LineString>"
67.0,"<LineString><coordinates>-16.4712004368,15.659181090500001 -16.4863134794,15.6645290212</coordinates></LineString>"
68.0,"<LineString><coordinates>-16.4863134794,15.6645290212 -16.485774427700001,15.646727653399999</coordinates></LineString>"
69.0,"<LineString><coordinates>-16.485774427700001,15.646727653399999 -16.497855316399999,15.630286552699999</coordinates></LineString>"
70.0,"<LineString><coordinates>-16.4712004368,15.659181090500001 -16.451608012600001,15.671956245100001</coordinates></LineString>"
71.0,"<LineString><coordinates>-16.4044761024,15.670302428 -16.394754466799998,15.699016226</coordinates></LineString>"
72.0,"<LineString><coordinates>-16.549913157399999,15.669384265 -16.547629721,15.675844407</coordinates></LineString>"
73.0,"<LineString><coordinates>-16.580773019,15.6647531802 -16.579503754400001,15.6585986016</coordinates></LineString>"
74.0,"<LineString><coordinates>-16.580773019,15.6647531802 -16.578318972,15.678011167299999</coordinates></LineString>"
75.0,"<LineString><coordinates>-16.549913157399999,15.669384265 -16.578318972,15.678011167299999</coordinates></LineString>"
76.0,"<LineString><coordinates>-16.578318972,15.678011167299999 -16.563990074300001,15.704938177100001</coordinates></LineString>"
77.0,"<LineString><coordinates>-16.5437376151,15.627094463300001 -16.545470722600001,15.6281216216</coordinates></LineString>"
78.0,"<LineString><coordinates>-16.5475796775,15.6233076404 -16.545470722600001,15.6281216216</coordinates></LineString>"
79.0,"<LineString><coordinates>-16.549913157399999,15.669384265 -16.545470722600001,15.6281216216</coordinates></LineString>"
